"ID","season","year","area","ECOREGION","yearqtr","lat","lon","X","Y"
"1","Fall",2016,2468.02002058059,"Araucanian",2016 Q2,-37.3617715769064,-73.6812351747137,85.341305368247,5854.70122006427
"2","Fall",2016,1194.26034828837,"Araucanian",2016 Q2,-37.3579053438655,-73.6794333279077,85.4796811356366,5855.13845350511
"3","Fall",2016,1114.64887660541,"Araucanian",2016 Q2,-37.3576858984244,-73.6807500014972,85.3617663366837,5855.15702291465
"4","Fall",2016,3423.61837916707,"Araucanian",2016 Q2,-37.3561120560459,-73.6779696999118,85.5995237125068,5855.34401912048
"5","Fall",2016,1672.18316843793,"Araucanian",2016 Q2,-37.3474301319822,-73.6752403344645,85.7936159926393,5856.32004968627
"6","Fall",2016,1751.81634535623,"Araucanian",2016 Q2,-37.3471149441603,-73.6746461241401,85.8445553789518,5856.35766063939
"7","Fall",2016,1114.79630400538,"Araucanian",2016 Q2,-37.3467200354452,-73.6737880581167,85.9184466182631,5856.40528338147
"8","Fall",2016,1592.57041010775,"Araucanian",2016 Q2,-37.3463350430871,-73.6724534179271,86.034641125007,5856.45389912619
"9","Fall",2016,2070.90576024225,"Araucanian",2016 Q2,-37.3260987637291,-73.6754213135376,85.6600853389011,5858.68784119013
"10","Fall",2016,1354.10376270494,"Araucanian",2016 Q2,-37.3229841301101,-73.673111301764,85.8477801292481,5859.04383793122
"11","Fall",2016,1035.52505979122,"Araucanian",2016 Q2,-37.3203322707212,-73.6718902434293,85.941470089958,5859.34365967223
"12","Fall",2016,2151.62676700338,"Araucanian",2016 Q2,-37.2877149798591,-73.6707981892481,85.8589799003012,5862.97019535711
"13","Fall",2016,1195.41100581066,"Araucanian",2016 Q2,-37.2834110518413,-73.6684918478377,86.0399532550018,5863.45821665697
"14","Fall",2016,23881.4688502181,"Araucanian",2016 Q2,-37.3683129244191,-73.6689161562812,86.4691515177715,5854.02906899004
"15","Fall",2016,1514.17199186166,"Araucanian",2016 Q2,-37.2841338016431,-73.6681769645958,86.0718604648016,5863.37934656013
"16","Fall",2016,2709.61112060852,"Araucanian",2016 Q2,-37.282964183609,-73.6678561564985,86.0938998150425,5863.51062545131
"17","Fall",2016,3267.51028920193,"Araucanian",2016 Q2,-37.2820003315745,-73.6672749589389,86.1401732686875,5863.62019910493
"18","Fall",2016,1434.51209193238,"Araucanian",2016 Q2,-37.2818859122275,-73.6646580374336,86.371731930938,5863.64438305705
"19","Fall",2016,2391.40561038875,"Araucanian",2016 Q2,-37.2641811162491,-73.6634043886976,86.3858434524111,5865.61576484337
"20","Fall",2016,1674.07837401686,"Araucanian",2016 Q2,-37.2599941110824,-73.6641226131965,86.2991384618171,5866.07752811107
"21","Fall",2016,6936.26336805423,"Araucanian",2016 Q2,-37.2510113991385,-73.6621955859,86.4209226891629,5867.08338481218
"22","Fall",2016,4219.21097123466,"Araucanian",2016 Q2,-37.3655810227683,-73.6688050703127,86.4639607507185,5854.33290099783
"23","Fall",2016,2310.21933393355,"Araucanian",2016 Q2,-37.3128588591688,-73.6656990160539,86.4494504747633,5860.20067105599
"24","Fall",2016,1593.27723644808,"Araucanian",2016 Q2,-37.3117184634027,-73.6651995223445,86.4874861912875,5860.32948883041
"25","Fall",2016,1274.65254486492,"Araucanian",2016 Q2,-37.3098859002672,-73.6651770641177,86.4794130116703,5860.53306998536
"26","Fall",2016,5019.0849537864,"Araucanian",2016 Q2,-37.3077017816952,-73.6647357496958,86.5065599340315,5860.77752419751
"27","Fall",2016,5578.79886971659,"Araucanian",2016 Q2,-37.2797685971791,-73.6631815206739,86.4911201795572,5863.88595705677
"28","Fall",2016,2626.73210564125,"Araucanian",2016 Q2,-37.3748551923211,-73.6684259713434,86.5486005984711,5853.30478387868
"29","Fall",2016,8039.44135915173,"Araucanian",2016 Q2,-37.374321566788,-73.6679053638555,86.5917974425826,5853.366323184
"30","Fall",2016,1354.37568302342,"Araucanian",2016 Q2,-37.306555528675,-73.6643078122836,86.5382218142856,5860.906677856
"31","Fall",2016,7322.8778638849,"Araucanian",2016 Q2,-37.3761015007899,-73.6675009660194,86.6374287544131,5853.17045956829
"32","Fall",2016,2469.76606215856,"Araucanian",2016 Q2,-37.3057051121857,-73.6630689208135,86.6434383323641,5861.00653862518
"33","Fall",2016,5816.14433887884,"Araucanian",2016 Q2,-37.3020480991302,-73.6595601308574,86.9345990938765,5861.42798141447
"34","Fall",2016,2709.76303227129,"Araucanian",2016 Q2,-37.2775188080516,-73.6591794877859,86.833879414062,5864.15330275342
"35","Fall",2016,8054.05938458801,"Araucanian",2016 Q2,-37.2350657970041,-73.6571362517109,86.7827068885289,5868.87608324884
"36","Fall",2016,1275.90307493269,"Araucanian",2016 Q2,-37.2341803793951,-73.6561040799572,86.8694984424296,5868.9789132268
"37","Fall",2016,1196.37192465993,"Araucanian",2016 Q2,-37.220025925519,-73.6515556100738,87.1959541848964,5870.57045869369
"38","Fall",2016,1036.92421067186,"Araucanian",2016 Q2,-37.2144969098131,-73.6479190457866,87.4886843150123,5871.20026420386
"39","Fall",2016,1276.39662108359,"Araucanian",2016 Q2,-37.2037948652897,-73.6491140640126,87.3241230326518,5872.38335594557
"40","Fall",2016,14519.1778144951,"Araucanian",2016 Q2,-37.2028893924662,-73.6488667202919,87.3411479606192,5872.48497603722
"41","Fall",2016,6461.88901082176,"Araucanian",2016 Q2,-37.2020068295317,-73.6473410683081,87.4718367701687,5872.58963349989
"42","Fall",2016,10211.6680639032,"Araucanian",2016 Q2,-37.1996787561288,-73.6460190848085,87.576552606039,5872.85390301438
"43","Fall",2016,1196.71290476212,"Araucanian",2016 Q2,-37.1977776499861,-73.647489236105,87.4355962734276,5873.05857665465
"44","Fall",2016,1036.95165512583,"Araucanian",2016 Q2,-37.2121474700077,-73.6454728639401,87.6930955372965,5871.47181463712
"45","Fall",2016,1595.5030934646,"Araucanian",2016 Q2,-37.202775277797,-73.6442283522576,87.7524961868568,5872.51789247582
"46","Fall",2016,1834.93365344091,"Araucanian",2016 Q2,-37.1985114043983,-73.644935677444,87.6664156798542,5872.98824825906
"47","Fall",2016,2712.56285477598,"Araucanian",2016 Q2,-37.1970799585306,-73.6451895486348,87.6360583253473,5873.14608202427
"48","Fall",2016,1515.85243302131,"Araucanian",2016 Q2,-37.1967229964031,-73.6456954425943,87.5891751809468,5873.18351005315
"49","Fall",2016,1755.21841580663,"Araucanian",2016 Q2,-37.1956712373377,-73.6446260613159,87.6784274003981,5873.3049587037
"50","Fall",2016,6063.53891732064,"Araucanian",2016 Q2,-37.1949700987652,-73.6447439391172,87.6641330074066,5873.38229575595
"51","Fall",2016,2153.75067790446,"Araucanian",2016 Q2,-37.2089460380749,-73.6432232373767,87.875418423996,5871.8371030009
"52","Fall",2016,3670.04750096511,"Araucanian",2016 Q2,-37.19457444024,-73.6434925148084,87.7731364775303,5873.43168685632
"53","Fall",2016,4388.14283821856,"Araucanian",2016 Q2,-37.1937129101143,-73.6425975023222,87.8479422667315,5873.53125055615
"54","Fall",2016,3909.44386540167,"Araucanian",2016 Q2,-37.193362949713,-73.6411141312613,87.977801211476,5873.57657604892
"55","Fall",2016,1755.28158617526,"Araucanian",2016 Q2,-37.1920861421027,-73.6384726010686,88.2054924718694,5873.72985863653
"56","Fall",2016,3111.66520018328,"Araucanian",2016 Q2,-37.1916175102622,-73.6403501629657,88.0361545665237,5873.77371164343
"57","Fall",2016,1037.20872936893,"Araucanian",2016 Q2,-37.1919284658744,-73.6356535869953,88.4550486144559,5873.75964417899
"58","Fall",2016,1436.15982082312,"Araucanian",2016 Q2,-37.1907268732358,-73.6364259847621,88.3798954708073,5873.88969990486
"59","Fall",2016,1117.03720269719,"Araucanian",2016 Q2,-37.187904309673,-73.6277750657087,89.133038529652,5874.24073988921
"60","Fall",2016,2792.6648363478,"Araucanian",2016 Q2,-37.1856931705881,-73.6259348028862,89.2845111999697,5874.49425011294
